title,url,pub_date,duration,status,filename,size_mb,format,guid,speakers,transcription_status,transcript_path,diarization_status,diarized_transcript_path
NerdCast Especial 1000 minutos - Um NerdCast para a Todos Governar (Parte 2),https://pdst.fm/e/traffic.megaphone.fm/JNPD4532854202.mp3?updated=1759787803,2025-10-06,497m09s,downloaded,NerdCast Especial 1000 minutos - Um NerdCast para a Todos Governar _Parte 2_.mp3,335.2,mp3,209459c0-a2ec-11f0-b963-bf8d5fac0104,,not_transcribed,,not_diarized,
NerdCast 1000 - O Melhor de 1000 NerdCasts,https://pdst.fm/e/traffic.megaphone.fm/JNPD6845522681.mp3?updated=1760107103,2025-10-03,178m21s,downloaded,NerdCast 1000 - O Melhor de 1000 NerdCasts.mp3,120.5,mp3,4da0e49e-a088-11f0-b959-67d6da295ddf,,not_transcribed,,not_diarized,
NerdCast Especial 1000 minutos - Um NerdCast para a Todos Governar,https://pdst.fm/e/traffic.megaphone.fm/JNPD4930568942.mp3?updated=1759520529,2025-10-03,1012m50s,downloaded,NerdCast Especial 1000 minutos - Um NerdCast para a Todos Governar.mp3,686.5,mp3,e8f38f36-a089-11f0-ac32-d3a56f61d1eb,,not_transcribed,,not_diarized,
NerdCast 999 - Brilho Eterno de um NerdCast com Lembranças,https://pdst.fm/e/traffic.megaphone.fm/JNPD1618182535.mp3?updated=1758920913,2025-09-26,121m04s,downloaded,NerdCast 999 - Brilho Eterno de um NerdCast com Lembranças.mp3,82.4,mp3,a494333c-9b1a-11f0-8af5-a744f8fb010f,,not_transcribed,,not_diarized,
NerdCast 998 - GTA V Ainda é 5 Estrelas,https://pdst.fm/e/traffic.megaphone.fm/JNPD9199875596.mp3?updated=1758315624,2025-09-19,92m05s,downloaded,NerdCast 998 - GTA V Ainda é 5 Estrelas.mp3,61.8,mp3,8b913b7c-9599-11f0-acec-77319b53d4d6,Alexandre Ottoni|Julia Campos|Patife|SaninPlay,not_transcribed,,not_diarized,
NerdCast 997 - Adedanha de Casal com Tempero de Século XX?,https://pdst.fm/e/traffic.megaphone.fm/JNPD6170884373.mp3?updated=1759434393,2025-09-12,86m00s,downloaded,NerdCast 997 - Adedanha de Casal com Tempero de Século XX_.mp3,57.0,mp3,bc1d98a6-8ff1-11f0-af52-7735c9e97791,Alexandre Ottoni|Carlos Voltor|Marcelo Bassoli|Tucano,not_transcribed,,not_diarized,
NerdCast 996 - Cid Cidoso e a Lenda da Tailândia,https://pdst.fm/e/traffic.megaphone.fm/JNPD3374552280.mp3?updated=1757094383,2025-09-05,100m34s,downloaded,NerdCast 996 - Cid Cidoso e a Lenda da Tailândia.mp3,67.0,mp3,737f3168-8a7e-11f0-a7b0-cb7091489036,Alexandre Ottoni|Azaghal,not_transcribed,,not_diarized,
NerdCast Extra Oferecido por Google - A Sua Nova Carteira Pode Já Estar no Seu Bolso,https://pdst.fm/e/traffic.megaphone.fm/JNPD8186359338.mp3?updated=1757094000,2025-09-02,19m51s,downloaded,NerdCast Extra Oferecido por Google - A Sua Nova Carteira Pode Já Estar no Seu Bolso.mp3,12.9,mp3,c8067b88-8803-11f0-b371-934fd4ea6aee,Natacha Litvinov,not_transcribed,,not_diarized,
NerdCast 995 - Como era bom o Cinema dos Anos 90 - Parte 1,https://pdst.fm/e/traffic.megaphone.fm/JNPD7670751633.mp3?updated=1757337801,2025-08-29,151m45s,downloaded,NerdCast 995 - Como era bom o Cinema dos Anos 90 - Parte 1.mp3,102.1,mp3,31f01744-850b-11f0-82e7-7f70b5af7fa2,Alexandre Ottoni|Azaghal|Marcelo Bassoli|Max Valarezo|Tucano|Gaveta|Eduardo Spohr,not_transcribed,,not_diarized,
NerdCast 994 - As Revoltas do Brasil Colônia,https://pdst.fm/e/traffic.megaphone.fm/JNPD8448865113.mp3?updated=1756332009,2025-08-22,99m22s,downloaded,NerdCast 994 - As Revoltas do Brasil Colônia.mp3,66.5,mp3,b124a04e-7f97-11f0-8223-ef54a4b159e1,Alexandre Ottoni|Azaghal|Filipe Figueiredo|Tucano,not_transcribed,,not_diarized,
NerdCast 993 - Inventando Heróis e Vilões do nosso jeitinho,https://pdst.fm/e/traffic.megaphone.fm/JNPD7488199486.mp3,2025-08-19,111m24s,downloaded,NerdCast 993 - Inventando Heróis e Vilões do nosso jeitinho.mp3,75.8,mp3,c422ed6a-7d1f-11f0-829c-ef3f0672024e,Azaghal|Tucano|Portuguesa,not_transcribed,,not_diarized,
